2026-04-14 20:20:06.757 | INFO     | __main__:test_llm:8 - Sending prompt to LLM: What is the capital of France?
    *   **Unsupervised:** K-Means Clustering, Hierarchical Clustering, Principal Component Analysis (PCA), Independent Component Analysis (ICA), t-SNE, Anomaly Detection.
*   **Deep Learning (DL):**
    *   Artificial Neural Networks (ANNs)
    *   Convolutional Neural Networks (CNNs) for image and video data.
    *   Recurrent Neural Networks (RNNs) and LSTMs for sequential data (time series, text).
    *   Transformers for advanced NLP tasks.
*   **Natural Language Processing (NLP):**
    *   Sentiment Analysis, Topic Modeling, Text Summarization, Machine Translation, Chatbots.
*   **Computer Vision (CV):**
    *   Object Detection, Image Classification, Facial Recognition, Semantic Segmentation.
*   **Reinforcement Learning (RL):**
    *   Used in recommendation systems, game AI, robotics, and complex decision-making scenarios.
*   **Automated Machine Learning (AutoML):**
    *   Tools like H2O.ai, DataRobot, Google Cloud AutoML, AutoKeras, Auto-Sklearn.

### Real-World Applications:

*   **Healthcare:** Disease diagnosis, drug discovery, personalized medicine, predictive analytics for patient outcomes.
*   **Finance:** Fraud detection, algorithmic trading, credit scoring, risk assessment.
*   **Retail & E-commerce:** Recommendation systems, demand forecasting, customer segmentation, personalized marketing.
*   **Manufacturing:** Predictive maintenance, quality control, supply chain optimization.
*   **Marketing:** Customer churn prediction, lead scoring, campaign optimization.
*   **Autonomous Systems:** Self-driving cars, robotics.
*   **Cybersecurity:** Threat detection, intrusion prevention.

In essence, AI provides data scientists with the sophisticated tools and methodologies to transform raw data into actionable insights, automate complex tasks, and build intelligent systems that can learn and adapt. The synergy between AI and data science is what drives innovation and value creation in the data-driven world.
2026-04-15 11:50:29.509 | INFO     | app.api.routers.research_agent:research:22 - Research response generated successfully
2026-04-15 12:37:47.122 | INFO     | main:root:12 - Root endpoint accessed
2026-04-15 12:38:06.536 | INFO     | app.api.routers.research_agent:research:20 - Received research request for topic: who am i
2026-04-15 12:38:06.537 | INFO     | app.agents.research_agent:generate_response:6 - Sending prompt to LLM: who am i
2026-04-15 12:38:15.734 | SUCCESS  | app.agents.research_agent:generate_response:10 - LLM response received
2026-04-15 12:38:15.735 | INFO     | app.agents.research_agent:generate_response:12 - Response: That's a profound and timeless question! As an AI, I don't have access to your personal information, consciousness, or experiences, so I can't tell you who *you* are in a personal sense.

However, I can offer some perspectives on how people typically explore and define "who am I":

1.  **Your Personal History:** Your past experiences, relationships, successes, failures, and lessons learned all contribute to who you are today.
2.  **Your Values and Beliefs:** What principles guide your decisions? What do you believe in strongly?
3.  **Your Passions and Interests:** What activities make you feel alive, engaged, or fulfilled? What do you love to learn about or do?
4.  **Your Strengths and Weaknesses:** What are you good at? What do you struggle with? How do you overcome challenges?
5.  **Your Relationships:** How do you interact with others? What roles do you play in your family, friendships, and community?
6.  **Your Goals and Aspirations:** What do you hope to achieve? What kind of person do you want to become?
7.  **Your Personality Traits:** Are you introverted or extroverted? Optimistic or realistic? Adventurous or cautious?
8.  **Your Identity Groups:** Your culture, nationality, gender, profession, hobbies, and other affiliations can be part of your identity.
9.  **Your Physical Self:** Your body, its capabilities, and how you perceive it.

**To help *you* explore this question, you might ask yourself:**

*   What truly matters to me?
*   What makes me unique?
*   What am I most proud of?
*   What challenges have shaped me?
*   How do I want to be remembered?
*   What kind of impact do I want to have on the world?

Ultimately, "who am I" is a journey of self-discovery that evolves throughout your life. It's not a static answer, but a continuous process of learning and growing.

If you'd like to discuss specific aspects of identity or explore different philosophical views on the self, I'm here to help!
2026-04-15 12:38:15.736 | INFO     | app.api.routers.research_agent:research:22 - Research response generated successfully
2026-04-15 12:43:42.960 | INFO     | app.api.routers.research_agent:research:20 - Received research request for topic: hi
2026-04-15 12:43:42.961 | INFO     | app.agents.research_agent:generate_response:6 - Sending prompt to LLM: hi
2026-04-15 12:43:48.282 | SUCCESS  | app.agents.research_agent:generate_response:10 - LLM response received
2026-04-15 12:43:48.282 | INFO     | app.agents.research_agent:generate_response:12 - Response: Hello! How can I help you today?
2026-04-15 12:43:48.283 | INFO     | app.api.routers.research_agent:research:22 - Research response generated successfully
2026-04-15 12:46:43.354 | INFO     | app.api.routers.research_agent:research:20 - Received research request for topic: hi
2026-04-15 12:46:43.355 | INFO     | app.agents.research_agent:generate_response:6 - Sending prompt to LLM: hi
2026-04-15 12:46:45.884 | SUCCESS  | app.agents.research_agent:generate_response:10 - LLM response received
2026-04-15 12:46:45.885 | INFO     | app.agents.research_agent:generate_response:12 - Response: Hi there! How can I help you today?
2026-04-15 12:46:45.885 | INFO     | app.api.routers.research_agent:research:22 - Research response generated successfully
2026-04-15 16:06:55.814 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 16:06:56.889 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 16:07:09.290 | INFO     | main:root:12 - Root endpoint accessed
2026-04-15 16:07:29.080 | INFO     | app.api.routers.research_agent:research:20 - Received research request for topic: hi
2026-04-15 16:07:29.081 | INFO     | app.agents.research_agent:generate_response:6 - Sending prompt to LLM: hi
2026-04-15 16:07:32.241 | SUCCESS  | app.agents.research_agent:generate_response:10 - LLM response received
2026-04-15 16:07:32.242 | INFO     | app.agents.research_agent:generate_response:12 - Response: Hi there! How can I help you today?
2026-04-15 16:07:32.242 | INFO     | app.api.routers.research_agent:research:22 - Research response generated successfully
2026-04-15 18:03:36.628 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:03:37.652 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 18:06:24.020 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:06:25.036 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 18:06:58.057 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:06:59.060 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 18:07:28.994 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:07:29.994 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 18:07:41.132 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:07:42.115 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 18:07:44.902 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:07:45.969 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 18:07:52.389 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 18:07:53.836 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:22:22.758 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:22:23.637 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:23:01.212 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:23:02.025 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:23:55.946 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:23:56.742 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:24:02.422 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:24:03.241 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:24:43.011 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:24:43.933 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:24:45.304 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:24:46.114 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:25:52.078 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:25:53.057 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:25:53.544 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:25:54.390 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:30:34.747 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:30:35.625 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:30:44.498 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 19:30:45.399 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 19:30:45.545 | INFO     | __main__:<module>:114 - {'event': 'agent_execution_started', 'topic': 'AI in healthcare'}
2026-04-15 19:30:45.801 | INFO     | __main__:router_node:37 - {'event': 'router_node_started', 'topic': 'AI in healthcare'}
2026-04-15 19:30:50.388 | INFO     | __main__:router_node:51 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': "The field of AI in healthcare is rapidly evolving with new research, applications, regulatory changes, and ethical considerations emerging frequently. To provide a comprehensive and current blog post, it's essential to research the latest developments, tools, and real-world case studies.", 'queries': ['latest advancements AI in healthcare (last 1-2 years)', 'current AI applications in medical diagnosis and imaging', 'AI tools and platforms for drug discovery and development', 'ethical implications and challenges of AI in healthcare', 'regulatory frameworks for AI in healthcare (e.g., FDA, EU)', 'impact of large language models (LLMs) on healthcare delivery', 'successful real-world case studies of AI implementation in hospitals', 'future trends and challenges for AI adoption in healthcare'], 'max_result_per_query': 5}}
2026-04-15 19:30:50.389 | SUCCESS  | __main__:router_node:66 - {'event': 'router_node_success', 'topic': 'AI in healthcare', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 8, 'duration_sec': 4.59}
2026-04-15 19:30:50.391 | SUCCESS  | __main__:<module>:121 - {'event': 'agent_execution_success', 'result': {'topic': 'AI in healthcare', 'need_to_research': True, 'mode': 'hybrid', 'reason': "The field of AI in healthcare is rapidly evolving with new research, applications, regulatory changes, and ethical considerations emerging frequently. To provide a comprehensive and current blog post, it's essential to research the latest developments, tools, and real-world case studies.", 'queries': ['latest advancements AI in healthcare (last 1-2 years)', 'current AI applications in medical diagnosis and imaging', 'AI tools and platforms for drug discovery and development', 'ethical implications and challenges of AI in healthcare', 'regulatory frameworks for AI in healthcare (e.g., FDA, EU)', 'impact of large language models (LLMs) on healthcare delivery', 'successful real-world case studies of AI implementation in hospitals', 'future trends and challenges for AI adoption in healthcare']}}
2026-04-15 20:55:43.802 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 20:55:45.084 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:05:56.975 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:05:58.203 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:06:14.085 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:06:15.321 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:06:28.551 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:06:29.765 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:06:47.779 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:06:48.984 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:08:49.085 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:08:50.273 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:09:23.619 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:09:24.869 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:11:29.341 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:11:30.569 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:13:34.633 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:13:35.991 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-15 21:15:39.386 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-15 21:15:40.664 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 12:20:14.787 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 12:20:16.013 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 12:20:16.087 | INFO     | __main__:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'What are the latest advancements in AI research?', 'max_results': 3}
2026-04-16 12:20:18.492 | SUCCESS  | __main__:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'What are the latest advancements in AI research?', 'results_count': 4, 'duration_sec': 2.4}
2026-04-16 12:42:24.231 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 12:42:25.437 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 12:42:26.798 | INFO     | __main__:<module>:150 - {'event': 'agent_execution_started', 'topic': 'AI in healthcare'}
2026-04-16 12:42:26.803 | INFO     | __main__:router_node:40 - {'event': 'router_node_started', 'topic': 'AI in healthcare'}
2026-04-16 12:42:31.568 | INFO     | __main__:router_node:54 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'AI in healthcare is a rapidly evolving field with continuous advancements in models, tools, applications, regulatory frameworks, and ethical considerations. Up-to-date information is crucial for a comprehensive and relevant blog post.', 'queries': ['latest advancements in AI for medical diagnosis and imaging', 'AI applications in drug discovery and development current trends', 'impact of AI on personalized medicine and treatment plans', 'ethical considerations and challenges of AI in healthcare', 'regulatory landscape and FDA guidance for AI in medical devices', 'successful case studies of AI implementation in hospitals and clinics', 'future trends and predictions for AI in healthcare technology', 'AI in preventative care and population health management'], 'max_result_per_query': 5}}
2026-04-16 12:42:31.569 | SUCCESS  | __main__:router_node:69 - {'event': 'router_node_success', 'topic': 'AI in healthcare', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 8, 'duration_sec': 4.77}
2026-04-16 12:42:31.570 | ERROR    | __main__:<module>:163 - {'event': 'agent_execution_failed', 'error': "'_SpecialGenericAlias' object does not support item assignment"}
2026-04-16 12:42:31.579 | ERROR    | __main__:<module>:167 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 155, in <module>
    result = research_agent.invoke({"topic": topic})
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 3309, in invoke
    for chunk in self.stream(
                 ~~~~~~~~~~~^
        input,
        ^^^^^^
    ...<10 lines>...
        **kwargs,
        ^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 2736, in stream
    for _ in runner.tick(
             ~~~~~~~~~~~^
        [t for t in loop.tasks.values() if not t.writes],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        schedule_task=loop.accept_push,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_runner.py", line 167, in tick
    run_with_retry(
    ~~~~~~~~~~~~~~^
        t,
        ^^
    ...<10 lines>...
        },
        ^^
    )
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_retry.py", line 126, in run_with_retry
    return task.proc.invoke(task.input, config)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 656, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 400, in invoke
    ret = self.func(*args, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 104, in research_node
    raw = List[dict] = []
          ~~~~^^^^^^
TypeError: '_SpecialGenericAlias' object does not support item assignment
During task with name 'research' and id '934c7ce0-b159-8c19-0480-315074a776fe'

2026-04-16 12:47:41.480 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 12:47:42.612 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 12:47:42.784 | INFO     | __main__:<module>:150 - {'event': 'agent_execution_started', 'topic': 'AI in healthcare'}
2026-04-16 12:47:42.788 | INFO     | __main__:router_node:40 - {'event': 'router_node_started', 'topic': 'AI in healthcare'}
2026-04-16 12:47:47.324 | INFO     | __main__:router_node:54 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'AI in healthcare is a rapidly evolving field with new research, applications, tools, and regulatory developments emerging frequently. While core concepts are evergreen, up-to-date information is crucial for relevance and accuracy.', 'queries': ['Current AI applications in healthcare (diagnosis, treatment, drug discovery)', 'Recent advancements and breakthroughs in AI for medical imaging and diagnostics', 'Key AI technologies and platforms used in healthcare', 'Ethical implications and challenges of AI in healthcare', 'Regulatory landscape and compliance for AI in medical devices and software', 'Impact of AI on healthcare professionals and patient care', 'AI in personalized medicine and predictive analytics'], 'max_result_per_query': 5}}
2026-04-16 12:47:47.326 | SUCCESS  | __main__:router_node:69 - {'event': 'router_node_success', 'topic': 'AI in healthcare', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 7, 'duration_sec': 4.54}
2026-04-16 12:47:47.328 | ERROR    | __main__:<module>:163 - {'event': 'agent_execution_failed', 'error': "'_SpecialGenericAlias' object does not support item assignment"}
2026-04-16 12:47:47.334 | ERROR    | __main__:<module>:167 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 155, in <module>
    result = research_agent.invoke({"topic": topic})
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 3309, in invoke
    for chunk in self.stream(
                 ~~~~~~~~~~~^
        input,
        ^^^^^^
    ...<10 lines>...
        **kwargs,
        ^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 2736, in stream
    for _ in runner.tick(
             ~~~~~~~~~~~^
        [t for t in loop.tasks.values() if not t.writes],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        schedule_task=loop.accept_push,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_runner.py", line 167, in tick
    run_with_retry(
    ~~~~~~~~~~~~~~^
        t,
        ^^
    ...<10 lines>...
        },
        ^^
    )
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_retry.py", line 126, in run_with_retry
    return task.proc.invoke(task.input, config)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 656, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 400, in invoke
    ret = self.func(*args, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 104, in research_node
    raw = List[dict] = []
          ~~~~^^^^^^
TypeError: '_SpecialGenericAlias' object does not support item assignment
During task with name 'research' and id '2587f0a2-7785-3423-9a73-cb9311fdb3da'

2026-04-16 12:49:40.434 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 12:49:41.569 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 12:49:41.743 | INFO     | __main__:<module>:150 - {'event': 'agent_execution_started', 'topic': 'AI in healthcare'}
2026-04-16 12:49:41.746 | INFO     | __main__:router_node:40 - {'event': 'router_node_started', 'topic': 'AI in healthcare'}
2026-04-16 12:49:47.017 | INFO     | __main__:router_node:54 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'AI in healthcare is a rapidly evolving field with new technological advancements, regulatory changes, and real-world applications emerging constantly. While core concepts are evergreen, up-to-date information on current trends, successful implementations, ethical considerations, and challenges is crucial for a comprehensive and relevant article.', 'queries': ['latest AI applications in healthcare diagnostics', 'recent advancements of AI in drug discovery and development', 'current ethical guidelines and regulations for AI in healthcare', 'impact of generative AI on medical practice and research', 'real-world case studies of AI implementation in hospitals and clinics', 'challenges and barriers to AI adoption in healthcare systems', 'future trends and predictions for AI in personalized medicine'], 'max_result_per_query': 5}}
2026-04-16 12:49:47.018 | SUCCESS  | __main__:router_node:69 - {'event': 'router_node_success', 'topic': 'AI in healthcare', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 7, 'duration_sec': 5.27}
2026-04-16 12:49:47.020 | ERROR    | __main__:<module>:163 - {'event': 'agent_execution_failed', 'error': "'_SpecialGenericAlias' object does not support item assignment"}
